,,Notes,Kate Shreeve,Roland White,Athena,Amelia Espada,Esther Martin,Mark Savage,Janet Walker,Alain Mormont,Jai Chandra,Sen,Gargoyle,Ryan Frost,Stranger,Andromeda McLear,Earl Deckard,George Mormoth,Simon Coil,Julia Takahashi,Daiyu Tang,Ezekiel Gray,Marika Prochazka,Karl Schraeder,Alec Shaheen,,Amelia Espada
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Specific,Mission_Train_TrainStopped,,"""Looks like the train's been disabled; we have to save the survivors."",
""If we can keep the Vek off the wreckage, maybe #corp can still repair what's left."",","""That train is no longer on time... but it's not a total loss yet."",
""Hey, save what's left of that train!"",","""The train's half broken. We have to save the other half!"",
""We can still save what's left!"",
""I couldn't save the whole train... maybe I can save half a train."",","""The train's suffered some damage. Try to protect the crew!"",
""Secure what's left of that train!"",
""#corp is still going to want the supplies on board; protect what's left."",","""Train's been hit. Protect the site until the rescue team gets here."",
""That train might still be salvageable; secure the wreckage!"",","""The train's been derailed, but it's still intact."",
""Protect the train! It may be wrecked, but there are still crew on board."",","""The train took a hit. We'll try to secure the site, maybe some crew survived."",
""Keep the Vek at bay until we can get rescue crews out here!"",","""I can still see... Several futures where we protect the train's cargo."",
""The train is not as sturdy as our Mechs. But the cargo might still be intact."",
""The train took a hit!"",","""Protect what's left of the train. There are still passengers and equipment on board!"",
""We can't let the Vek hit the train a second time!"",
""Pin down the Vek before they deal the train any more damage!"",","""The train has been hurt!"",
""#self_mech, we must protect the rest of that train!"",","""Train's still intact; we need to guard it."",
""Guard the wreckage; #corp may still be able to salvage some of the train."",","""The train's been stopped cold. We better save what's left."",
""That train has definitely seen better days. Hey, just like me."",","""The train took a hit; can't let it take another."",
""Might still be able to salvage the train's cargo, if we can prevent further damage."",","""We can't let that train take any more damage!"",
""#corp could still salvage that train. Secure the wreckage and drive off the Vek!"",","""Protect the wreckage; it's possible some of the crew survived."",
""Might still be able to salvage the cargo and get #corp to repair that train."",","""The transport engine has been damaged. We must not allow it to be destroyed!"",
""That machine has been brought to rest, but its cargo can still be recovered if we defend it."",","""The transport has been disabled. We cannot let it be destroyed."",
""The train's occupants are still alive. Protect it."",","""#corp train has taken damage! Don't let it get completely destroyed, #squad."",
""We can't let that train take another hit! Crew and cargo may still be intact."",","""There's not much the conductor can do if the train's broken; keep the wreck safe until #corp can come evacuate them!"",
""The train's been derailed! Provide them some covering fire until the sector is clear."",","""That train is on its last legs."",
""Train is damaged but intact; we may still be able to salvage its cargo."",
""Train is damaged. Keep the Vek away; the crew and cargo may still be intact."",
""Train is in critical condition."",","""That train isn't getting anywhere on time, but #corp may still be able to salvage it if we can keep it safe."",
""This mission is going off the rails... but we can still salvage it!"",","""That train's not going to last much longer!"",
""That train can't withstand another hit!"",
""Might still be able to salvage the cargo on that train!"",","""Don't let the train take another hit! The cargo's still intact, for the moment."",
""#corp will still want to try salvaging that train; we're not done protecting it."",",,"""The train's suffered some damage. Try to protect the crew!"",
""Secure what's left of that train!"",
""#corp is still going to want the supplies on board; protect what's left."","
,Mission_Train_TrainDestroyed,,"""I...can't hear any movement from the wreckage."",
""The Vek are going to pay for that."",","""So much for the train."",
""Hope #corp isn't billing us for that train."",
""We lost the train; can't lose the Grid."",","""That's not good for the train. Or for us."",
""Both halves of the train are broken."",
""The Vek must really hate trains."",","""Train is a total loss."",
""All we can do now is focus on the Vek."",
""Make the Vek suffer for that."",","""Train took too many hits; there's nothing left."",
""Doesn't look like there's enough train left to save or salvage. Switch focus to the Vek."",","""Doesn't look like there are any survivors..."",
""Commander, we couldn't save the train."",","""#corp's train has been destroyed."",
""Commander, we lost the #corp train."",
""The train's wrecked, but we still have to keep the buildings safe."",","""The train is finished!"",
""We were unable to protect the train."",
""We'll make the Vek pay for that."",","""The train is done for. Focus on the Vek."",
""The cargo on that train... it appears to be a complete loss."",","""The train is no more. All that remains is vengeance."",
""We cannot help the train... but we can drive back these monsters."",","""No more train."",
""Forget the train; go after the Vek."",","""There goes the train."",
""Damn it!"",","""We've lost the #corp train. Focus on the Vek."",
""If only we had enough Mechs to use as transports; these trains are just too vulnerable."",","""The train has been destroyed. Whatever its cargo was, the Vek have deprived us of it."",
""There's nothing left of the train... but we still have to clear out the Vek."",
""We couldn't save the train. We can at least secure this area from the Vek."",","""Train jobs never go the way they're supposed to..."",
""'Tis unfortunate... but we still have other problems to deal with."",","""We have failed in our duty."",
""We could not save the engine, or its cargo."",","""The transport has been destroyed."",
""Unfortunate."",
""Perhaps we will have more success focusing on the Vek, instead."",","""We lost the train; focus on the Vek."",
""Don't stop to cry about it; we still have a mission."",
""We can't save the train, but we can get some revenge for it."",","""It's a real ghost train now..."",
""There's nothing left of the train or its crew..."",","""The train is done for."",
""Nothing left to salvage now..."",
""Blasted war."",
""There's nothing left to save. Time to take out the Vek."",","""There's nothing left of the train."",
""Sorry, #ceo_second, but we couldn't save the train."",","""That train's beyond saving... but we still have to clear this area."",
""Take out these Vek. We can't salvage the train, but at least then we can recover the bodies of its crew."",","""I knew routing transport lines through this sector was a bad idea."",
""The Vek are cutting our supply lines... maybe they're smarter than they look."",",,"""Train is a total loss."",
""All we can do now is focus on the Vek."",
""Make the Vek suffer for that."","
*,Mission_Block_Reminder,Remind player to block emerging Vek,"""We've got to keep the Vek from reaching the surface!"",
""Once those underground Vek get topside, they'll be much harder to deal with."",","""Let's go tap dance on those underground Vek."",
""Keep the Vek in the ground, #squad!"",","""Gotta block the tunnels so the Vek can't get to the surface!"",
""My #self_mech is nice and heavy; it should be able to keep the Vek from popping out of their tunnels."",","""Much as we all like fighting Vek, we should try to keep them underground..."",
""Prevent the Vek from surfacing if you can. We'll kill any that make it through."",
""Block the Vek before they emerge."",","""We've got orders to block those spawn points. What are you folks waiting for, an invitation?"",
""Need to block the Vek tunnels before they see daylight."",","""If you've got sufficient hull integrity, use your Mech to block their tunnels."",
""Keeping the Vek underground will minimize civilian casualties."",","""Get your Mechs on top of those emerging Vek, #squad."",
""Block those emergence points before this battle gets any more crowded."",
""Our orders are to keep the Vek underground."",","""Trust me, things turn out better for us if we keep the Vek underground."",
""We can't let the Vek make it to the surface."",","""Come on #squad, let's give those emerging Vek more to fight than just gravity."",
""My Grav Anchor can't pin the Vek underground; we'll have to do that manually."",","""#self_mech, we must stop the Vek from emerging!"",
""Even Winter cannot freeze the ground hard enough to stop these Vek from tunneling... so we must do it."",
""Do not allow these monsters to find the sunlight."",","""Don't let the Vek leave their holes."",
""Stop any more Vek from emerging."",","""If we block their tunnels we might be able to finish this a lot quicker."",
""I haven't forgotten about blocking the emergence points. I'm just taking my time."",","""We need to keep the Vek from reaching the surface."",
""Block as many Vek from emerging as possible. Let me greet any that slip through."",","""If we can prevent any more Vek from surfacing, our job here will be considerably easier..."",
""Commander, we'll do our best to prevent any more Vek from emerging."",","""Our odds of winning improve greatly if we can keep the Vek underground."",
""Better we cut off the Vek reinforcements.""","""We are charged to keep the demons from reaching the surface."",
""Remember our charge: the demons must not escape their tunnels."",","""I have plenty of Vek corpses to study; prevent any more from surfacing."",
""Block the Vek from surfacing."",
""Do not let more Vek escape the underworld."",","""Don't forget, team, we need to keep the Vek underground."",
""Keep as many Vek from surfacing as you can; commander's orders."",","""Keep these vermin underground."",
""We can't afford to let more of these things topside."",","""Apparently our combat proficiency is in question... We've been order to keep the Vek in the ground, so we don't have to fight them."",
""Keep the Vek buried. Don't let them see the light of day."",
""Seal off those tunnel entrances before the Vek can emerge."",","""Don't let those Vek out of their tunnels!"",
""Block those emerging Vek; we've got enough problems to deal with already."",","""Get your Mechs on top of the spawn points! We need to make sure those Vek stay underground."",
""Use your seismic sensors to detect emerging Vek, and block those points."",","""Maneuver the Vek onto the spawn points! If that fails, use your Mechs to block them!"",
""If we can't stop those Vek reinforcements from emerging, we're going to get overrun!"",",,"""Much as we all like fighting Vek, we should try to keep them underground..."",
""Prevent the Vek from surfacing if you can. We'll kill any that make it through."",
""Block the Vek before they emerge."","
Archive Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mission_Airstrike_Incoming,,"""Bombers! Thank goodness, we need all the support we can get."",
""Archive bombers have relayed their targeting telemetry; avoid those areas!"",","""Air support inbound. Don't get in their way."",
""The bombers are bringing the fire... let's roast some Vek with it."",
""Stay clear, I want to watch these Vek try to eat bombs."",","""I want to get a look at those bombers! But maybe I should stay back..."",
""Tell the bombers not to hit us!"",
""Everyone be careful of the bombs."",","""Archive bombers inbound to steal our kills."",
""Air support coming in hot!"",
""I'd stay out of the bombers' way, #squad."",","""I've got a line to the Archive squadron, their bomber is almost here."",
""I'm relaying the bomber's targeting data to your screens, everyone. Stay clear."",","""Archive bombers, you're clear to engage. The #squad will make sure to stay out of your way."",
""Let's light up some Vek to guide in the bombers."",","""Inbound airstrike."",
""Bombs incoming. Maybe we can shove some Vek into the blast zone."",
""Archive bomber is on approach!"",","""An Old Earth bomber! My apologies, I got excited. Moving out of the impact zone."",
""Bombers! Glad to see them."",","""Stay alert, those bombers don't always aim precisely."",
""Air support is inbound. We need to stay out of their firing zones."",","""The metal birds will be here soon, to drop their fire."",
""The winds bring our allies near... do not get in their way."",
""The Archive has sent flying machines to assist us!"",","""Airstrike. Be alert."",
""Archive bombers inbound."",","""I'm staying well clear of that airstrike."",
""Bombers. About time."",","""I forgot how much Archive loves their Old Earth weapons... one of their bombers is inbound."",
""Archive just relayed their bomber's next target."",","""Satellites show Archive bombers inbound. Brace yourselves."",
""Archive bombers are relaying their targeting data. Stay out of their crosshairs!"",","""I wouldn't bet on surviving one of those airstrikes... best stay clear."",
""Archive bombers don't leave much behind; watch yourselves."",
""Here come the bombers. This should be entertaining."",","""Our allies appear to have some sort of dragon in their employ, and it approaches."",
""Stay clear of the areas designated for bombardment!"",","""Our angel of death approaches."",
""Hellfire will rain down upon them."",
""Use caution; nothing will survive that bombardment."",","""Our friends in the sky are bringing the fire; watch your positioning."",
""Archive air support is about to strike; don't get between them and their targets."",","""Looks like Archive has found these Vek wanting, and bombers are on their way."",
""Can't argue with targeted airstrikes."",","""Air support is inbound."",
""Archive seems to think we can't handle this on our own. Airstrike incoming."",
""Unless you have a death wish, don't stray near those bombs."",","""Anything in the target zone is going to disappear in a flash; stay sharp!"",
""Those Archive birds are pretty accurate, but I still wouldn't stand too close."",","""One of those old Archive bombers is about to hit this sector."",
""Archive still has working Old Earth planes, and one's on its way to bomb these Vek."",","""Here come the bombers."",
""I don't think our Mechs will withstand those bombs; stay clear of the target coordinates!"",
""Nobody get blown up!"",",,"""Archive bombers inbound to steal our kills."",
""Air support coming in hot!"",
""I'd stay out of the bombers' way, #squad."","
,Mission_Tanks_Activated,Both tanks survived to activation,"""Yes! Let's welcome our newest allies, #squad."",
""They may be ancient, but those tanks should be useful against the Vek."",
""The more the merrier!"",","""Those old cannons are ready for action."",
""Those tanks don't look like much, but we'll make good use of their support."",
""Alright, #squad, we've got tank support."",","""Look, those little tanks are working now!"",
""The tanks are helping us!"",
""Both tanks are working; nobody step on one by accident. Or on purpose."",
""Tanks!"",","""Welcome to the party."",
""Tanks are online."",
""These old tanks look ready for action."",","""Strength in numbers."",
""You can never have too many allies. Let's put these tanks to work."",
""We'll take all the help we can get, even Old Earth hardware."",
""Those tanks are older than me, and almost as formidable."",","""Archive pilots, welcome aboard. We'll show you a good time."",
""Let's welcome our Archive brethren to the fight."",
""Have the tanks soften up targets for the rest of us."",
""Those tanks sure bring back memories... but I'm glad I'm in a Mech now."",","""Both tanks are reporting for duty!"",
""Tank support is here! That should help."",
""Don't get careless; those tanks still need cover while they work."",","""Reinforcements are in the field."",
""Both tanks are online and requesting orders, commander. What should we tell them?"",","""Both tanks are online."",
""Those Old Earth tanks are reporting in; all systems check out, they're ready for action."",","""Our little metal friends are awake!"",
""We must bid these tanks 'good morning' and warn them of all the monsters."",","""Tanks are online."",
""Tanks are ready for tasking."",","""Looks like we finally get some reinforcements."",
""Both tanks are now the action.""","""Archive's old tanks are ready for action."",
""Our little allies have joined the battle."",","""The Old Earth tanks appear ready to join our ranks."",
""Our reinforcements have come online!"",
""Both tanks are reporting in ready status."",","""The tanks appear ready for action."",
""Archive certainly knows how to put old things to good use."",","""Our smaller brethren have indicated they are armed for battle."",
""Both of those war engines appear ready to join our cause."",","""These tanks wish to fight. Direct them to the Vek."",
""Our horde grows stronger. Attack!"",
""With these tanks we can overwhelm the Vek.""","""Tanks are online."",
""The more the merrier."",
""#squad, we've got some new members for our merry band."",","""We need all the help we can get."",
""Got some tanks ready for action."",","""Those tanks may be small, but they should provide a tactical advantage."",
""Archive tanks are online. They don't look like much..."",
""Those old tanks are up and running. Let's see what they can do."",","""Hey, 'tanks' for the help today, you guys!... Sorry."",
""The last two members of our merry troupe have joined the fray!"",
""Archive tech may be slow, but it always come through."",","""Got two tanks reporting for duty. How should we task them?"",
""Commander, Archive's tank battalion is ready for action."",","""Tanks are online."",
""Guess those old tanks do work! They just take forever to start..."",",,"""Welcome to the party."",
""Tanks are online."",
""These old tanks look ready for action."","
,Mission_Tanks_PartialActivated,Only one tank survived to activation,"""Let's give the surviving tank some cover."",
""Let's help that tank get some vengeance."",","""The surviving cannon is ready for action."",
""That tank doesn't look like much, but we'll make good use of its support."",
""Alright, #squad, we've got tank support."",
""One tank made it! Let's put it to good use."",","""One tank made it!"",
""One of those tanks still works, and it's helping us now!"",
""Tank!"",","""Welcome to the party."",
""The surviving tank is online. Let's get some payback for the one we lost."",
""That old tank looks ready for action. Let's help it get some revenge."",","""One tank is better than no tanks."",
""Integrating the surviving tank into our tactical net."",
""The surviving tank made it online. Good."",","""Archive pilot, welcome aboard. We'll show you a good time."",
""Commander, that tank is ready to fire on the Vek.""","""Surviving tank is reporting for duty!"",
""Support is here... let's help this tank get some payback."",
""Don't get careless. That tank stills need cover, or we'll lose it too."",","""I was starting to worry we'd lose both tanks, but the second one's online!"",
""We've got the surviving tank requesting orders, commander. It's ready to join the fight!"",","""Surviving tank is online."",
""Surviving tank is reporting in; all its systems check out, it's ready for action."",","""Our little metal friend is awake... the other sleeps forever."",
""We must bid the tank 'good morning' and warn it about the monsters. Perhaps it will want revenge for its fellow."",","""Tank is online."",
""Tank is ready for tasking."",","""That tank is hardy, I'll give it that."",
""Surviving Old Earth tank is reporting in. We'll... try to keep this one safe."",","""One of Archive's old tanks is ready for action."",
""Our smaller ally has joined the battle."",","""The surviving Old Earth tank appears ready to join our ranks."",
""Our reinforcements have come online!"",
""The surviving tank is reporting in ready status."",","""The surviving tank appears ready for action."",
""Archive won't be happy that we lost one of those tanks..."",","""Our smaller ally has indicated they are armed for battle."",
""The surviving war engine appears ready to join our cause."",","""That tank wishes to fight. Direct it at the Vek."",
""Our horde grows stronger. Attack!"",
""Our lone survivor wishes to join the fight."",","""Surviving tank is online."",
""One tank is better than none; we'll take all the help we can get."",
""#squad, we've got a new member for our merry band."",","""Surviving tank is ready for action."",
""Bet that tank wants vengeance for the other; let's help out."",","""That tank may be small, but it should provide a tactical advantage."",
""Surviving Archive tank is online. Hopefully it's more robust than the other one."",
""That old tanks is up and running. Let's see what it can do."",
""The surviving tank looks ready to seek revenge."",","""The last member of our troupe has joined the fray; now let's wreak some vengeance on the Vek"",
""Tank is online."",
""Archive tech may be slow, but it always come through."",","""Got one tank reporting for duty. How should we task it?"",
""Commander, Archive's surviving tank is ready for action."",","""Tank is online."",
""Sorry about your friend in the other tank; we'll try to cover you."",",,"""Welcome to the party."",
""The surviving tank is online. Let's get some payback for the one we lost."",
""That old tank looks ready for action. Let's help it get some revenge."","
*,Mission_Dam_Reminder,Remind player to destroy the Dam,"""Can anyone spare some firepower for that dam? Guys?"",
""Such a pretty valley... but I guess it's more important to block the Vek with that water.""","""Anyone not tangling with the Vek, go for that dam."",
""Anyone have a clear shot at the dam?"",
""That's a lot of water... they really want us to flood this place?"",","""Remember we're supposed to break the dam. Can I do it?"",
""I like breaking things on purpose! Let's get that dam."",
""Breaking that dam will help flood the Vek's tunnels."",","""Someone needs to take out that dam. Should we draw straws?"",
""I'm kinda busy here... anyone else able to bring down that dam?"",
""If we can destroy that dam we may be able to drown a whole mess of them at once..."",","""The dam is still standing. Let's rectify that."",
""Our job here's not done until that dam comes down."",
""We're running low on time. Need to blow that dam."",","""Who wants to volunteer for demolition duty? The rest of us will hold off the Vek."",
""We can't secure this area while that dam is intact."",","""Remember, that dam needs to come down."",
""We'll need to take out the dam to fully secure this area."",
""The city still needs its new river."",","""Bringing down that dam should give us a tactical advantage."",
""So much water covering the planet... are we really supposed to flood this area?"",","""If we put enough cracks in that dam, water and gravity will do the rest..."",
""If we don't bring down that dam, the Vek will keep advancing."",","""Those waters do not wish to be pent up behind stone... we must unleash them!"",
""We must destroy that dam and return water to this valley."",","""Need to blow that dam."",
""That dam needs to go."",","""We've still got orders to take out that dam."",
""Who wants to blow up that dam?"",","""We cannot neglect that dam. Until we destroy it, the Vek can advance into this region unhindered."",
""Water was a precious resource in the wasteland. Seems a shame to destroy that dam, but I suppose we have to."",","""Satellite topography indicates destroying the dam here will create an ideal water barrier against the Vek."",
""Local topography should funnel the water from that dam into the battlefield, if we can breach it."",","""Let us wash away these Vek, and their sins."",
""That dam is destined for destruction."",","""We cannot shirk our charge; we must sunder that dam and release its waters."",
""We must breach that dam, so that its waters might protect this settlement."",","""We must destroy that dam if we are to secure this region."",
""The quickest way to make corpses of these Vek is to unleash the water from that dam."",","""Don't forget, team, we need to blow that dam to secure this area."",
""We still need to destroy that dam; commander's orders."",","""We've been tasked with demolishing that dam. Who wants to take the first swing?"",
""#squad, someone get their weapons armed and take a shot at the dam."",","""We've been ordered to bring down this dam. Let's see if it was built to code..."",
""We need to destroy that dam. Fortunately, property damage is a specialty of mine."",
""Get me near that dam and I'll have it down in no time."",","""These Vek look thirsty; let's get them some water."",
""These Vek look like they could use a few thousands gallons of water. Hey look, a dam."",","""Time to rearrange the water table in this sector. Blowing that dam should keep out the Vek."",
""We need to put some cracks in that dam; water pressure should do the rest."",","""We need to put some cracks in that dam. Eventually, the water pressure will take over and finish the job."",
""We need to break that dam."",",,"""Someone needs to take out that dam. Should we draw straws?"",
""I'm kinda busy here... anyone else able to bring down that dam?"",
""If we can destroy that dam we may be able to drown a whole mess of them at once..."","
,Mission_Dam_Destroyed,After the completed animation of the dam drowning things,"""That's... almost scenic, all that water."",
""Dam collapse is confirmed. Hope it works."",","""Should have brought my water wings."",
""Now Archive can charge extra for the pool access."",
""Come on in, the water's great!"",","""Boom, no more dam."",
""I hope #corp is happy that we broke it!"",
""That was exciting!"",","""Now let's push some Vek into the water."",
""Well done, squad. Let's use that river as a weapon."",","""Now I can get my toes wet."",
""Let's give these Vek a bath."",
""That river is a weapon. Use it."",","""A new kind of trench warfare."",
""This is #self_second, confirming destruction of the dam."",
""Well, that was satisfying."",","""Here comes the river..."",
""Don't get washed away, #squad."",
""Objective complete. Now let's deal with the Vek."",","""Permission to go for a swim? Forgive me, I suppose it's not the time."",
""A river to guard our cities!"",","""They're going to have to redraw their maps."",
""One river, made to order."",","""Let the Vek die in the water, and the earth thrive in it."",
""We did it!"",","""That's better."",
""Back to focusing on the Vek."",","""Great, more water. Not like we're already on an island..."",
""Let's send the Vek to their pool date now."",","""What a pleasant river we have created."",
""The river has resumed its natural course."",","""Our topographical analysis appears to have been accurate. This river should aid in defeating the local Vek."",","""That should thwart the creatures' advance."",
""The river returns to its natural course, and the cycle of time continues."",
""The river is restored. It should deter the Vek."",","""Let the river wash these demons from the Earth."",
""That was well done."",","""Excellent."",
""Hydrologic barrier is in place."",","""Don't anybody get washed away."",
""Area's been flooded, as ordered."",
""Good thing our Mechs can survive getting a little wet."",","""Now let's introduce these Vek to Charon."",
""That river should keep the sector relatively secure from large-scale invasion."",","""I think the Vek need some help admiring our new river. Let's oblige."",
""Objective complete."",
""Purposeful destruction is so much more satisfying."",","""Time for swimming lessons!"",
""Now let's see how well these Vek swim!"",
""That should keep this city a little safer."",","""Our new river should help secure this sector from the Vek."",
""Nothing like a raging river between the Vek and our cities."",","""Excellent. We'll have to redraw the maps of this sector, but the Vek will have a harder time invading."",
""Who wants to name our new river when we update the maps?"",",,"""Now let's push some Vek into the water."",
""Well done, squad. Let's use that river as a weapon."","
,Mission_Satellite_Destroyed,Triggers only when the first satellite is destroyed,"""Detecting a failure cascade... that rocket's gone!"",
""One of the payloads is gone! We need to safeguard the second one, #squad."",
""There may not be people aboard those things, but saving them is still vital!"",","""They're supposed to go up, not down."",
""Good thing there's a backup."",
""Protect the remaining satellite."",
""Can't let them destroy the second one."",","""I don't think that's how the rocket is supposed to look."",
""The rocket broke!"",
""The satellite won't be able to launch!"",","""One of the satellites has been lost. Keep the Vek from getting the other!"",
""We've lost a rocket. Remember, killing the Vek isn't our only priority here."",","""We're not made of satellites! Don't let the other one get destroyed."",
""Satellite destroyed. Even more critical that the second makes it to orbit, now."",","""Stay focused, #squad. There's still another rocket that needs protection."",
""We can't let the second rocket be destroyed as well..."",
""Now it's even more critical we protect the second launch."",","""Rocket took a hit."",
""That's probably not good."",
""Switch your focus to the second rocket. Keep it safe!"",","""We don't have a lot of Old Earth satellites left; guard the second one!"",
""We failed to protect one of the satellites."",","""That satellite isn't going to make it off this planet..."",
""Guess it's stuck on Earth forever now."",","""The rocket is no more! I was looking forward to seeing it fly..."",
""We must protect the other rocket, until it awakes!"",","""That one's not going to see space."",
""No more satellite."",","""Lost a satellite."",
""That rocket's not going anywhere."",","""One of the satellites has been destroyed. We cannot afford to lose them both."",
""Our little spacefaring friend just went up in flames."",","""We've lost one of the satellites!"",
""That satellite contained irreplaceable scientific equipment!"",
""The orbital defense net just lost its newest member before it even entered service..."",","""Those rockets are too valuable to lose."",
""We cannot lose the remaining satellite."",","""One of our metal towers has been destroyed!"",
""We have failed in our charge to protect that obelisk."",","""One of the satellites has been lost."",
""We cannot lose the other rocket."",","""One of the rockets has been destroyed on the launch pad!"",
""So much for that satellite..."",
""Protect the second rocket; we can't afford to lose both satellites."",","""We've lost a rocket. That means the Vek need to lose a few eyes as payback."",
""We're a little overextended down here; couldn't save the rocket."",","""That satellite isn't going anywhere."",
""Satellite destroyed."",
""I never tire of explosions... but we can't lose the second satellite."",","""That rocket is going to miss its launch window."",
""I don't think that rocket is spaceworthy anymore."",","""We need those satellites in orbit! Can't keep letting them get destroyed."",
""I hope Archive has a backup satellite stashed somewhere."",","""That satellite isn't going anywhere."",
""Watch out, those rockets are full of fuel!"",",,"""One of the satellites has been lost. Keep the Vek from getting the other!"",
""We've lost a rocket. Remember, killing the Vek isn't our only priority here."","
,Mission_Satellite_Imminent,"Triggers when the Satellite queues its launch (the turn before it actually launches) -- It can trigger for either satellite, or both, it's randomized.","""Everyone hear that? Primary ignition is commencing!"",
""The satellite's prelaunch checks are complete; keep everyone clear of the pad!"",","""Get clear of those rockets!"",
""See if you can shove some Vek into the blast zone, but be careful!"",","""Be careful, that's where the rocket fire comes out."",
""Everyone should back away from that rocket."",
""Can't let my #self_mech become rocket toast."",","""See if you can push the Vek into the rocket's blast zone; but don't get caught there yourself."",
""Rocket launch is imminent. Everyone stay sharp."",
""Protect that rocket while it launches!"",","""Launch sequence is commencing. Mind the blast zone."",
""Last chance to avoid being cooked by that rocket."",
""We're not in the clear til that rocket launches. Stay on alert."",","""Let's not have anyone's Mech getting fried today."",
""That rocket is launching, whether or not we're in its way. So don't be!"",
""It's the final countdown..."",","""Rocket is about to launch. Maybe I can shove some Vek into the blast zone."",
""#squad, get clear of the launch pad."",","""Looks like they're primed to launch!"",
""Sounds like they've initiated the launch sequence!"",
""Clearing the blast zone now."",","""Liftoff in 10, 9, 8..."",
""The countdown just started. Watch out for the rocket ignition blast!"",","""It is awake! The rocket will fly soon!"",
""It is awake, and angry! Do not stand near it!"",
""The rocket is about to fly! Be careful not to stand too near!"",","""Launch imminent. Be alert."",
""Watch out for the exhaust when it launches."",","""That thing's about to launch. Stay out of the way!"",
""I'll watch that launch from a nice, safe distance."",","""The rocket is set to blast off. Nothing in the vicinity is going to survive that."",
""My sensors are detecting increased thermal emissions. That rocket's warming up."",
""Give that rocket some space; it could easily turn a Mech into slag."",","""Countdown to launch is commencing."",
""Clear the rocket pad, it's about to launch!"",
""#squad, our Mechs can't survive the ignition blast from that rocket. Get clear!"",","""That rocket is prepared to launch. Push the Vek into its fires."",
""We must protect the launch."",","""It seems some new magic is preparing to scorch this area."",
""My armor informs me that obelisk is preparing to unleash its fire; stay clear of it!"",","""I can study charred Vek remains just as easily... perhaps we should push them into the blast zone."",
""Move away from that rocket... or what comes next may be unpleasant."",","""Unless you want to melt your Mechs, get clear of that launch!"",
""There's the countdown; satellite launch is imminent..."",","""Countdown commencing. Rocket is prepped for launch."",
""Get off the launch pad. No close-range sightseeing."",","""Things are about to heat up."",
""About time that rocket started its launch sequence."",
""I've always wanted to watch one of these launches... but I'll do it from a safe distance."",
""#squad, keep clear of that launch pad if you want to live."",","""They've started the countdown... we're on the clock now!"",
""I believe we're strongly advised to stand clear of that rocket."",","""Space Command just started the countdown; that rocket's about to launch."",
""Keep your Mechs away from the launch pad when that rocket lifts off. They're not rated for a blast like that."",","""Finally, we've got a countdown. Stay clear when it launches."",
""The Vek may still try to interfere with the launch. Keep them away from the rocket."",",,"""See if you can push the Vek into the rocket's blast zone; but don't get caught there yourself."",
""Rocket launch is imminent. Everyone stay sharp."",
""Protect that rocket while it launches!"","
,Mission_Satellite_Launch,"Triggers when the satellite actually takes off, can trigger for either or both","""Phew, it's out of reach of the Vek now..."",
""... so... loud. All I hear is ringing."",","""Rockets away!"",
""Blast off!"",
""Looks like it's away, but our job's not done..."",","""Bye, rocket."",
""There it goes..."",
""Now that's over, let's get back to smashing monsters."",","""Rocket is away. But let's not celebrate yet..."",
""That satellite should provide a tactical advantage in future missions."",","""Not bad. That satellite should help our future missions."",
""Never a bad thing to have more eyes in the sky."",
""Satellite's readings are good; it's safely on its way."",","""Glad I got to see that."",
""Enjoy the moment, #squad. But don't get distracted from completing the mission."",","""Up, up, and away..."",
""Off to a better place. At least, better for satellites."",
""Soon it'll be smiling down on us."",","""What a beautiful moment!"",
""We did it! Satellite is on its way."",","""Rocket launch successful."",
""So much energy required to escape all this..."",
""Satellite is on its way to orbit."",
""Trajectory looks good for a stable satellite orbit."",","""What a grand sight!"",
""Ride the winds!"",
""I hope it has a pleasant journey! Now, let us destroy these remaining monsters."",","""Rocket away."",
""Back to focusing on the Vek."",","""Not bad."",
""Hopefully that satellite does something useful."",","""One less thing to worry about."",
""Now we can focus more on the Vek."",
""This will make a good story."",","""The satellite is on its way to orbit!"",
""One more satellite on its way to orbit!"",
""That satellite should strengthen our orbital defense net."",","""The satellite is on its way."",
""One more star for the sky, and a friendly eye to watch over us."",","""An impressive sight!"",
""The machines of this age continue to impress and confuse me."",","""It has left this world behind."",
""That satellite may outlive us all, if the Vek win..."",","""We have liftoff."",
""Space command will be happy."",
""More eyes in the sky are always helpful."",","""We have ignition."",
""Satellite is safely away."",
""Guess that old thing was up to the task."",","""Impressive."",
""A fine way to leave this world."",
""Satellite is on its way."",
""One less target to babysit. Let's give the Vek our full attention."",","""Blast off!"",
""Up, up, and away..."",
""Magnificent!"",
""Satellite is away!"",","""Rocket telemetry looks good. Successful launch."",
""The satellite trajectory is holding stable. Let's get back to dealing with the Vek."",","""Blast off!"",
""The satellite is on its way."",",,"""Rocket is away. But let's not celebrate yet..."",
""That satellite should provide a tactical advantage in future missions."","
